ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
14,0,0,2023-5-5 18:39:37.670,2023-5-5 18:39:42.675,2023-5-5 18:39:46.195,p,2023-5-5 18:39:45.674,r
14,0,1,2023-5-5 18:39:47.18,2023-5-5 18:39:49.26,2023-5-5 18:39:54.771,p,2023-5-5 18:39:54.523,s
14,0,2,2023-5-5 18:39:55.568,2023-5-5 18:39:57.570,2023-5-5 18:40:5.241,q,2023-5-5 18:40:5.75,s
14,0,3,2023-5-5 18:40:6.240,2023-5-5 18:40:8.242,2023-5-5 18:40:21.41,p,2023-5-5 18:40:20.746,t
14,0,4,2023-5-5 18:40:22.52,2023-5-5 18:40:24.58,2023-5-5 18:40:32.508,p,2023-5-5 18:40:32.59,d
14,0,5,2023-5-5 18:40:33.247,2023-5-5 18:40:35.250,2023-5-5 18:40:35.553,q,2023-5-5 18:40:35.251,c
14,0,6,2023-5-5 18:40:36.306,2023-5-5 18:40:38.314,2023-5-5 18:40:46.204,p,2023-5-5 18:40:45.811,n
14,0,7,2023-5-5 18:40:47.223,2023-5-5 18:40:49.226,2023-5-5 18:40:58.552,p,2023-5-5 18:40:58.227,r
14,0,8,2023-5-5 18:40:59.360,2023-5-5 18:41:1.362,2023-5-5 18:41:8.313,p,2023-5-5 18:41:7.867,m
14,0,9,2023-5-5 18:41:9.239,2023-5-5 18:41:11.242,2023-5-5 18:41:21.218,p,2023-5-5 18:41:20.746,s
14,0,10,2023-5-5 18:41:22.326,2023-5-5 18:41:24.330,2023-5-5 18:41:33.520,q,2023-5-5 18:41:33.330,r
14,1,0,2023-5-5 18:43:7.394,2023-5-5 18:43:12.403,2023-5-5 18:43:14.197,p,2023-5-5 18:43:13.899,l
14,1,1,2023-5-5 18:43:14.906,2023-5-5 18:43:16.914,2023-5-5 18:43:21.749,q,2023-5-5 18:43:21.411,t
14,1,2,2023-5-5 18:43:22.561,2023-5-5 18:43:24.562,2023-5-5 18:43:28.795,p,2023-5-5 18:43:28.563,l
14,1,3,2023-5-5 18:43:29.449,2023-5-5 18:43:31.450,2023-5-5 18:43:39.154,p,2023-5-5 18:43:38.955,t
14,1,4,2023-5-5 18:43:40.10,2023-5-5 18:43:42.18,2023-5-5 18:43:47.872,p,2023-5-5 18:43:47.514,n
14,1,5,2023-5-5 18:43:48.842,2023-5-5 18:43:50.850,2023-5-5 18:43:51.124,q,2023-5-5 18:43:50.851,t
14,1,6,2023-5-5 18:43:51.787,2023-5-5 18:43:53.794,2023-5-5 18:43:54.191,q,2023-5-5 18:43:53.795,l
14,1,7,2023-5-5 18:43:54.741,2023-5-5 18:43:56.746,2023-5-5 18:43:57.17,q,2023-5-5 18:43:56.747,s
14,1,8,2023-5-5 18:43:57.673,2023-5-5 18:43:59.674,2023-5-5 18:44:0.974,p,2023-5-5 18:44:0.675,n
14,1,9,2023-5-5 18:44:1.852,2023-5-5 18:44:3.858,2023-5-5 18:44:17.127,p,2023-5-5 18:44:16.859,m
14,1,10,2023-5-5 18:44:18.142,2023-5-5 18:44:20.146,2023-5-5 18:44:20.636,q,2023-5-5 18:44:20.147,n
14,1,11,2023-5-5 18:44:22.13,2023-5-5 18:44:24.18,2023-5-5 18:44:34.678,p,2023-5-5 18:44:34.514,r
14,1,12,2023-5-5 18:44:35.573,2023-5-5 18:44:37.578,2023-5-5 18:44:45.356,q,2023-5-5 18:44:45.74,c
14,1,13,2023-5-5 18:44:46.94,2023-5-5 18:44:48.98,2023-5-5 18:44:57.420,p,2023-5-5 18:44:57.99,c
14,1,14,2023-5-5 18:44:58.108,2023-5-5 18:45:0.114,2023-5-5 18:45:1.266,p,2023-5-5 18:45:1.115,r
14,2,0,2023-5-5 18:46:55.490,2023-5-5 18:47:0.491,2023-5-5 18:47:4.21,p,2023-5-5 18:47:3.491,t
14,2,1,2023-5-5 18:47:4.916,2023-5-5 18:47:6.922,2023-5-5 18:47:16.709,p,2023-5-5 18:47:16.419,r
14,2,2,2023-5-5 18:47:17.330,2023-5-5 18:47:19.338,2023-5-5 18:47:26.190,p,2023-5-5 18:47:25.835,m
14,2,3,2023-5-5 18:47:26.838,2023-5-5 18:47:28.842,2023-5-5 18:47:34.267,q,2023-5-5 18:47:33.842,d
14,2,4,2023-5-5 18:47:34.871,2023-5-5 18:47:36.874,2023-5-5 18:47:45.366,p,2023-5-5 18:47:44.874,s
14,2,5,2023-5-5 18:47:46.25,2023-5-5 18:47:48.26,2023-5-5 18:47:57.885,q,2023-5-5 18:47:57.531,n
14,2,6,2023-5-5 18:47:59.79,2023-5-5 18:48:1.82,2023-5-5 18:48:13.338,p,2023-5-5 18:48:13.83,t
14,2,7,2023-5-5 18:48:14.197,2023-5-5 18:48:16.202,2023-5-5 18:48:19.642,q,2023-5-5 18:48:19.203,d
14,2,8,2023-5-5 18:48:20.206,2023-5-5 18:48:22.210,2023-5-5 18:48:22.471,p,2023-5-5 18:48:22.211,s
14,2,9,2023-5-5 18:48:23.133,2023-5-5 18:48:25.138,2023-5-5 18:48:25.392,p,2023-5-5 18:48:25.139,n
14,2,10,2023-5-5 18:48:26.86,2023-5-5 18:48:28.90,2023-5-5 18:48:28.324,p,2023-5-5 18:48:28.91,c
14,2,11,2023-5-5 18:48:28.952,2023-5-5 18:48:30.954,2023-5-5 18:48:31.217,p,2023-5-5 18:48:30.955,n
14,2,12,2023-5-5 18:48:32.274,2023-5-5 18:48:34.282,2023-5-5 18:48:37.364,p,2023-5-5 18:48:37.283,c
14,2,13,2023-5-5 18:48:38.6,2023-5-5 18:48:40.10,2023-5-5 18:48:41.267,p,2023-5-5 18:48:41.11,t
14,2,14,2023-5-5 18:48:41.897,2023-5-5 18:48:43.898,2023-5-5 18:48:45.190,q,2023-5-5 18:48:44.899,r
14,2,15,2023-5-5 18:48:45.952,2023-5-5 18:48:47.954,2023-5-5 18:48:49.185,q,2023-5-5 18:48:48.954,m
14,2,16,2023-5-5 18:48:49.901,2023-5-5 18:48:51.906,2023-5-5 18:48:52.150,p,2023-5-5 18:48:51.907,c
14,2,17,2023-5-5 18:48:53.10,2023-5-5 18:48:55.18,2023-5-5 18:48:55.318,p,2023-5-5 18:48:55.19,n
14,3,0,2023-5-5 18:50:48.529,2023-5-5 18:50:53.531,2023-5-5 18:50:56.768,p,2023-5-5 18:50:56.531,n
14,3,1,2023-5-5 18:50:57.517,2023-5-5 18:50:59.522,2023-5-5 18:50:59.751,p,2023-5-5 18:50:59.523,d
14,3,2,2023-5-5 18:51:0.222,2023-5-5 18:51:2.226,2023-5-5 18:51:2.488,p,2023-5-5 18:51:2.227,t
14,3,3,2023-5-5 18:51:3.11,2023-5-5 18:51:5.18,2023-5-5 18:51:5.279,p,2023-5-5 18:51:5.19,m
14,3,4,2023-5-5 18:51:5.955,2023-5-5 18:51:7.962,2023-5-5 18:51:15.455,p,2023-5-5 18:51:14.963,t
14,3,5,2023-5-5 18:51:16.101,2023-5-5 18:51:18.106,2023-5-5 18:51:19.555,p,2023-5-5 18:51:19.107,c
14,3,6,2023-5-5 18:51:20.225,2023-5-5 18:51:22.226,2023-5-5 18:51:27.415,p,2023-5-5 18:51:27.226,n
14,3,7,2023-5-5 18:51:28.290,2023-5-5 18:51:30.298,2023-5-5 18:51:37.804,q,2023-5-5 18:51:37.299,s
14,3,8,2023-5-5 18:51:38.719,2023-5-5 18:51:40.722,2023-5-5 18:51:48.713,p,2023-5-5 18:51:48.227,r
14,3,9,2023-5-5 18:51:49.457,2023-5-5 18:51:51.458,2023-5-5 18:51:58.208,p,2023-5-5 18:51:57.963,n
14,3,10,2023-5-5 18:51:59.134,2023-5-5 18:52:1.138,2023-5-5 18:52:11.571,q,2023-5-5 18:52:11.139,m
14,3,11,2023-5-5 18:52:12.420,2023-5-5 18:52:14.426,2023-5-5 18:52:21.153,p,2023-5-5 18:52:20.922,m
14,3,12,2023-5-5 18:52:21.944,2023-5-5 18:52:23.946,2023-5-5 18:52:32.679,p,2023-5-5 18:52:32.450,r
