id,exact+AF8-time+AF8-before+AF8-event,exact+AF8-time+AF8-after+AF8-event,model+AF8-type,val+AF8-fold,in+AF8-channels,hidden+AF8-channels,hidden+AF8-size,kernel+AF8-sizes,d+AF8-model,nhead,num+AF8-layers,bidirectional,dim+AF8-feedforward,dropout+AF8-rate
200010,1500,0,LSTM,0,28,16,,,,,2,True,,+ACI-0,4+ACI-
200020,200,50,LSTM,1,28,32,,,,,3,False,,+ACI-0,5+ACI-
200030,1200,300,LSTM,2,28,64,,,,,4,True,,+ACI-0,3+ACI-
200040,600,150,LSTM,0,28,128,,,,,5,False,,+ACI-0,4+ACI-
200050,500,0,LSTM,1,28,256,,,,,2,False,,+ACI-0,5+ACI-
200060,500,0,LSTM,2,28,16,,,,,3,True,,+ACI-0,4+ACI-
200070,600,150,LSTM,1,28,32,,,,,4,False,,+ACI-0,4+ACI-
200080,2300,200,LSTM,0,28,64,,,,,5,True,,+ACI-0,3+ACI-
200090,300,200,LSTM,1,28,128,,,,,2,True,,+ACI-0,3+ACI-
200100,350,150,LSTM,2,28,256,,,,,3,False,,+ACI-0,4+ACI-
200110,1000,0,LSTM,0,28,16,,,,,4,True,,+ACI-0,3+ACI-
200120,750,0,LSTM,1,28,32,,,,,5,False,,+ACI-0,3+ACI-
200130,2700,300,LSTM,0,28,64,,,,,2,False,,+ACI-0,5+ACI-
200140,1700,300,LSTM,1,28,128,,,,,3,True,,+ACI-0,5+ACI-
200150,450,50,LSTM,2,28,256,,,,,4,False,,+ACI-0,4+ACI-
200160,250,0,LSTM,0,28,16,,,,,5,True,,+ACI-0,5+ACI-
200170,200,50,LSTM,1,28,32,,,,,2,True,,+ACI-0,5+ACI-
200180,1800,200,LSTM,2,28,64,,,,,3,False,,+ACI-0,3+ACI-
200190,700,300,LSTM,0,28,128,,,,,4,True,,+ACI-0,4+ACI-
200200,2700,300,LSTM,1,28,256,,,,,5,False,,+ACI-0,3+ACI-
200210,450,50,LSTM,0,28,16,,,,,2,False,,+ACI-0,5+ACI-
200220,700,300,LSTM,2,28,32,,,,,3,True,,+ACI-0,3+ACI-
200230,700,50,LSTM,0,28,64,,,,,4,False,,+ACI-0,3+ACI-
200240,350,150,LSTM,1,28,128,,,,,5,True,,+ACI-0,3+ACI-
200250,2900,100,LSTM,0,28,256,,,,,2,True,,+ACI-0,4+ACI-
200260,1000,0,LSTM,2,28,16,,,,,3,False,,+ACI-0,3+ACI-
200270,250,0,LSTM,0,28,32,,,,,4,True,,+ACI-0,4+ACI-
200280,700,50,LSTM,1,28,64,,,,,5,False,,+ACI-0,5+ACI-
200290,700,300,LSTM,2,28,128,,,,,2,False,,+ACI-0,4+ACI-
200300,600,150,LSTM,0,28,256,,,,,3,True,,+ACI-0,5+ACI-
200310,1200,300,LSTM,2,28,16,,,,,4,False,,+ACI-0,3+ACI-
200320,2300,200,LSTM,0,28,32,,,,,5,True,,+ACI-0,5+ACI-
200330,2200,300,LSTM,1,28,64,,,,,2,True,,+ACI-0,5+ACI-
200340,2300,200,LSTM,2,28,128,,,,,3,False,,+ACI-0,3+ACI-
200350,400,100,LSTM,0,28,256,,,,,4,True,,+ACI-0,3+ACI-
200360,650,100,LSTM,1,28,16,,,,,5,False,,+ACI-0,3+ACI-
200370,1300,200,LSTM,0,28,32,,,,,2,False,,+ACI-0,5+ACI-
200380,800,200,LSTM,1,28,64,,,,,3,True,,+ACI-0,5+ACI-
200390,2300,200,LSTM,0,28,128,,,,,4,False,,+ACI-0,3+ACI-
200400,600,150,LSTM,1,28,256,,,,,5,True,,+ACI-0,3+ACI-
200410,700,300,LSTM,2,28,16,,,,,2,True,,+ACI-0,5+ACI-
200420,200,50,LSTM,1,28,32,,,,,3,False,,+ACI-0,5+ACI-
200430,1200,300,LSTM,2,28,64,,,,,4,True,,+ACI-0,4+ACI-
200440,1200,300,LSTM,2,28,128,,,,,5,False,,+ACI-0,3+ACI-
200450,500,0,LSTM,0,28,256,,,,,2,False,,+ACI-0,3+ACI-
200460,1900,100,LSTM,2,28,16,,,,,3,True,,+ACI-0,5+ACI-
200470,2500,0,LSTM,1,28,32,,,,,4,False,,+ACI-0,5+ACI-
200480,1800,200,LSTM,2,28,64,,,,,5,True,,+ACI-0,4+ACI-
200490,500,0,LSTM,0,28,128,,,,,2,True,,+ACI-0,3+ACI-
