ID del participante,Trial,Respuesta,Tiempo de inicio,Tiempo de aparición de letras,Tiempo de la pulsación,Tecla elegida,Tiempo de aparición de la letra observada,Letra observada
0,0,0,2023-5-1 18:0:47.926,2023-5-1 18:0:52.933,2023-5-1 18:0:57.826,q,2023-5-1 18:0:57.429,n
0,0,1,2023-5-1 18:0:58.425,2023-5-1 18:1:0.429,2023-5-1 18:1:5.283,p,2023-5-1 18:1:4.925,s
0,0,2,2023-5-1 18:1:5.871,2023-5-1 18:1:7.877,2023-5-1 18:1:13.167,p,2023-5-1 18:1:12.877,d
0,0,3,2023-5-1 18:1:13.731,2023-5-1 18:1:15.733,2023-5-1 18:1:21.340,p,2023-5-1 18:1:20.733,c
0,0,4,2023-5-1 18:1:22.253,2023-5-1 18:1:24.261,2023-5-1 18:1:29.213,q,2023-5-1 18:1:28.757,m
0,0,5,2023-5-1 18:1:29.927,2023-5-1 18:1:31.933,2023-5-1 18:1:37.283,p,2023-5-1 18:1:36.933,m
0,0,6,2023-5-1 18:1:38.25,2023-5-1 18:1:40.29,2023-5-1 18:1:46.416,q,2023-5-1 18:1:46.29,s
0,0,7,2023-5-1 18:1:47.77,2023-5-1 18:1:49.77,2023-5-1 18:1:53.879,q,2023-5-1 18:1:53.581,r
0,0,8,2023-5-1 18:1:54.545,2023-5-1 18:1:56.549,2023-5-1 18:2:0.662,q,2023-5-1 18:2:0.549,s
0,0,9,2023-5-1 18:2:1.682,2023-5-1 18:2:3.685,2023-5-1 18:2:11.6,p,2023-5-1 18:2:10.685,c
0,0,10,2023-5-1 18:2:11.571,2023-5-1 18:2:13.573,2023-5-1 18:2:18.249,p,2023-5-1 18:2:17.573,d
0,0,11,2023-5-1 18:2:18.755,2023-5-1 18:2:20.757,2023-5-1 18:2:26.977,q,2023-5-1 18:2:26.757,r
0,0,12,2023-5-1 18:2:27.530,2023-5-1 18:2:29.533,2023-5-1 18:2:33.899,p,2023-5-1 18:2:33.533,d
0,0,13,2023-5-1 18:2:34.498,2023-5-1 18:2:36.501,2023-5-1 18:2:38.813,p,2023-5-1 18:2:38.501,l
0,0,14,2023-5-1 18:2:39.518,2023-5-1 18:2:41.525,2023-5-1 18:2:45.300,q,2023-5-1 18:2:44.525,m
0,1,0,2023-5-1 18:4:22.409,2023-5-1 18:4:27.413,2023-5-1 18:4:31.576,p,2023-5-1 18:4:30.917,s
0,1,1,2023-5-1 18:4:32.180,2023-5-1 18:4:34.181,2023-5-1 18:4:38.12,p,2023-5-1 18:4:37.685,m
0,1,2,2023-5-1 18:4:38.700,2023-5-1 18:4:40.701,2023-5-1 18:4:44.761,q,2023-5-1 18:4:44.205,l
0,1,3,2023-5-1 18:4:45.257,2023-5-1 18:4:47.261,2023-5-1 18:4:50.150,p,2023-5-1 18:4:49.765,s
0,1,4,2023-5-1 18:4:50.686,2023-5-1 18:4:52.693,2023-5-1 18:4:57.534,q,2023-5-1 18:4:57.189,d
0,1,5,2023-5-1 18:4:58.20,2023-5-1 18:5:0.29,2023-5-1 18:5:5.799,q,2023-5-1 18:5:5.525,t
0,1,6,2023-5-1 18:5:6.542,2023-5-1 18:5:8.549,2023-5-1 18:5:12.358,p,2023-5-1 18:5:12.45,n
0,1,7,2023-5-1 18:5:12.892,2023-5-1 18:5:14.900,2023-5-1 18:5:19.198,q,2023-5-1 18:5:18.901,s
0,1,8,2023-5-1 18:5:19.726,2023-5-1 18:5:21.733,2023-5-1 18:5:25.941,p,2023-5-1 18:5:25.733,l
0,1,9,2023-5-1 18:5:26.475,2023-5-1 18:5:28.477,2023-5-1 18:5:32.833,p,2023-5-1 18:5:32.477,s
0,1,10,2023-5-1 18:5:33.182,2023-5-1 18:5:35.189,2023-5-1 18:5:40.716,p,2023-5-1 18:5:40.189,s
